名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,都道府県コード,電話番号,携帯,キャリア,カレーの食べ方
福山 浩太郎,ふくやま こうたろう,fukuyama_koutarou@example.com,男,73,1946/12/2,既婚,A型,愛知県,23,021-701-5824,090-4193-3716,ソフトバンク,左ルー・ルー攻め派
染谷 まみ,そめや まみ,someya_mami@example.com,女,16,2003/4/29,未婚,AB型,山梨県,19,053-862-5409,090-2396-1373,ソフトバンク,右ルー・ルー攻め派
桜井 かおり,さくらい かおり,sakurai_kaori@example.com,女,48,1971/4/18,既婚,A型,愛媛県,38,086-332-8333,090- 929-9587,ソフトバンク,右ルー・混ぜ混ぜ派
花岡 明慶,はなおか あきよし,hanaoka_akiyoshi@example.com,男,56,1963/6/28,既婚,O型,宮城県,04,0 3-557-7239,090-4907-5015,ドコモ,右ルー・混ぜ混ぜ派
深谷 ひろ子,ふかや ひろこ,fukaya_hiroko@example.com,女,62,1957/12/27,既婚,O型,北海道,01,073-191- 158,080-7880-3619,au,右ルー・せき止め派
服部 サンタマリア,はっとり さんたまりあ,hattori_stmaria@example.com,女,39,1980/10/21,既婚,O型,青森県,02,030-755-1041,090- 653-9621,au,右ルー・混ぜ混ぜ派
岡本 良介,おかもと りょうすけ,okamoto_ryousuke@example.com,男,37,1982/7/31,既婚,O型,愛媛県,38,016-217-6304,080-8557-1235,au,手前ルー・別口派
妹尾 基祐,せお きすけ,seo_kisuke@example.com,男,65,1954/7/21,既婚,A型,東京都,13,0 2-698-5621,090-6696-7146,au,別盛り・ナン派
寺島 窈,てらじま よう,terajima_you@example.com,女,15,2004/8/30,未婚,A型,広島県,34,094-247-1183,090-8551-6784,ドコモ,ぶっかけ・別口派
宮下 礼子,みやした れいこ,miyashita_reiko@example.com,女,54,1965/4/30,未婚,A型,東京都,13,043-367-9040,090-1897-2361,ドコモ,左ルー・混ぜ混ぜ派
今田 朝香,いまだ あさか,imada_asaka@example.com,女,69,1950/10/5,既婚,A型,岩手県,03,028-790-5318,080-2882-9825,ドコモ,左ルー・混ぜ混ぜ派
緒方 真悠子,おがた まゆこ,ogata_mayuko@example.com,女,27,1992/5/7,未婚,A型,茨城県,08,080-381-9676,090-3760-8291,au,ぶっかけ・混ぜ混ぜ派
滝本 美咲,たきもと みさき,takimoto_misaki@example.com,女,18,2001/8/15,未婚,B型,愛知県,23,083-846-1926,090-7745-2314,ドコモ,ぶっかけ・せき止め派
長浜 六郎,ながはま ろくろう,nagahama_rokurou@example.com,男,27,1992/9/8,既婚,A型,大阪府,27,028-214-4919,090- 338-6958,au,右ルー・ナン派
畠中 栄一,はたなか えいいち,hatanaka_eiichi@example.com,男,63,1956/10/1,既婚,O型,岐阜県,21,025-303-8276,080-1978-4789,au,ぶっかけ・ナン派
丹野 はるか,たんの はるか,tannno_haruka@example.com,女,36,1983/7/19,既婚,A型,埼玉県,11,018-571-6160,090-1104-1036,ドコモ,奥ルー・せき止め派
菊田 さゆり,きくた さゆり,kikuta_sayuri@example.com,女,17,2002/9/30,既婚,A型,兵庫県,28,035-197-7849,090-3541-6430,ドコモ,左ルー・ルー攻め派
柴崎 進,しばざき すすむ,shibazaki_susumu@example.com,男,61,1958/6/19,既婚,A型,栃木県,09,053-955-3677,080-4197-1991,au,別盛り・ルー攻め派
生田 徹,なまた とおる,namata_tooru@example.com,男,43,1976/11/19,既婚,O型,埼玉県,11,0 9-884-5387,080-4096-7666,ソフトバンク,奥ルー・別口派
関 玲那,せき れな,seki_rena@example.com,女,71,1948/7/16,既婚,AB型,福岡県,40,012-981-7880,080-6197-3842,au,左ルー・混ぜ混ぜ派
福田 翔子,ふくだ しょうこ,fukuda_shouko@example.com,女,37,1982/10/7,既婚,AB型,大阪府,27,064-130-7445,090-5243-8652,au,左ルー・別口派
福沢 真奈美,ふくざわ まなみ,fukuzawa_manami@example.com,女,30,1989/12/22,既婚,B型,石川県,17,0 1-157-3782,090-3297-4737,ドコモ,左ルー・せき止め派
福井 竜也,ふくい たつや,fukui_tatsuya@example.com,男,76,1943/7/5,既婚,B型,埼玉県,11,067-340- 331,090-8516-4072,ソフトバンク,ぶっかけ・ルー攻め派
北沢 礼子,きたざわ れいこ,kitazawa_reiko@example.com,女,25,1994/7/18,既婚,A型,北海道,01,082-412-9689,080-6721-4327,ソフトバンク,左ルー・ルー攻め派
三谷 光博,みたに みつひろ,mitani_mitsuhiro@example.com,男,62,1957/11/6,既婚,B型,宮城県,04,075-911- 104,090-3221-4514,ソフトバンク,右ルー・ルー攻め派
久野 那奈,ひさの なな,hisano_nana@example.com,女,41,1978/9/6,既婚,B型,栃木県,09,0 6-594-5875,090-2844-6068,ソフトバンク,左ルー・せき止め派
堀 朝香,ほり あさか,hori_asaka@example.com,女,28,1991/6/3,既婚,O型,京都府,26,067-677-8624,090-6681-9216,ドコモ,左ルー・せき止め派
六角 詩織,ろっかく しおり,rokkaku_shiori@example.com,女,40,1979/8/17,既婚,O型,大阪府,27,0  -727-8118,090-6825-6903,ドコモ,左ルー・せき止め派
生田 夏希,なまた なつき,namata_natsuki@example.com,女,58,1961/6/29,既婚,O型,福岡県,40,023-354-7482,090- 208-8433,ソフトバンク,左ルー・ルー攻め派
川上 由美子,かわかみ ゆみこ,kawakami_yumiko@example.com,女,60,1959/12/14,既婚,A型,神奈川県,14,024-321-4118,090-8266-2735,ドコモ,手前ルー・せき止め派
神山 しほり,かみやま しほり,kamiyama_shihori@example.com,女,64,1955/7/6,既婚,B型,青森県,02,061- 38-3854,080-3109-1685,ドコモ,右ルー・せき止め派
蒼井 満,あおい みつる,aoi_mitsuru@example.com,男,82,1937/5/25,既婚,O型,大阪府,27,062-756-7982,080-6635-5375,au,ぶっかけ・せき止め派
若杉 智花,わかすぎ ともか,wakasugi_tomoka@example.com,女,44,1975/10/18,既婚,O型,奈良県,29,052-926-8506,080-1724-4068,ドコモ,左ルー・混ぜ混ぜ派
片山 明慶,かたやま あきよし,katayama_akiyoshi@example.com,男,77,1942/4/21,既婚,A型,福井県,18,040-754-9438,080-6818-5969,ドコモ,ぶっかけ・ルー攻め派
山西 季衣,やまにし としえ,yamanishi_toshie@example.com,女,45,1974/12/27,既婚,AB型,北海道,01,036- 47-1376,080-1009-1961,au,左ルー・せき止め派
青柳 友香,あおやぎ ともか,aoyagi_tomoka@example.com,女,31,1988/4/9,既婚,A型,千葉県,12,076-671- 511,080-7139- 701,ドコモ,奥ルー・ルー攻め派
喜多 ひろみ,きた ひろみ,kita_hiromi@example.com,女,81,1938/10/31,既婚,B型,東京都,13,073-968- 595,090-7411- 602,ソフトバンク,別盛り・ルー攻め派
石沢 恵梨香,いしざわ えりか,ishizawa_erika@example.com,女,22,1997/4/21,既婚,O型,奈良県,29,061-327-2233,080-8816-1771,ドコモ,奥ルー・ルー攻め派
新垣 美幸,にいがき みゆき,niigaki_miyuki@example.com,女,54,1965/2/21,既婚,O型,愛媛県,38,074-919-5029,080-7888-1106,ドコモ,左ルー・せき止め派
狩野 コウ,かの こう,kano_kou@example.com,女,20,1999/8/11,既婚,O型,青森県,02,054-751- 441,090-1355-5522,au,左ルー・別口派
安永 隆博,やすなが たかひろ,yasunaga_takahiro@example.com,男,59,1960/3/22,既婚,A型,熊本県,43,029-406-9692,080-7530-8053,ドコモ,別盛り・せき止め派
井口 結子,いぐち ゆうこ,iguchi_yuuko@example.com,女,79,1940/6/14,既婚,O型,広島県,34,038-833-7972,080-4176-5961,ドコモ,ぶっかけ・ルー攻め派
吉田 かおり,よしだ かおり,yoshida_kaori@example.com,女,11,2008/4/7,未婚,O型,富山県,16,097-  8-7537,080-6235-5709,ドコモ,奥ルー・ルー攻め派
柳家 扶樹,やなぎや もとき,yanagiya_motoki@example.com,男,28,1991/11/19,未婚,O型,東京都,13,065- 95-9646,090-5538-3100,au,ぶっかけ・ナン派
向井 彩華,むらい あやか,murai_ayaka@example.com,女,40,1979/9/17,既婚,B型,茨城県,08,062-285-4889,080-8221-8633,ドコモ,手前ルー・ルー攻め派
谷村 惇,たにむら じゅん,tanimura_jun@example.com,男,11,2008/3/10,未婚,A型,滋賀県,25,013- 36-1203,090-7184-8399,ドコモ,左ルー・ルー攻め派
結城 徹平,ゆうき てっぺい,yuuki_teppei@example.com,男,10,2009/9/6,未婚,B型,愛媛県,38,029-385-9211,080-6638-2622,au,左ルー・別口派
岩佐 愛梨,いわさ あいり,iwasa_airi@example.com,女,50,1969/10/31,既婚,A型,東京都,13,053-380-7468,090-4411-6999,ドコモ,ぶっかけ・別口派
末永 遥,すえなが はるか,suenaga_haruka@example.com,女,56,1964/1/24,既婚,O型,愛知県,23,022-888-4292,080-8950-2289,ソフトバンク,右ルー・ルー攻め派
中村 照生,なかむら てるお,nakamura_teruo@example.com,男,36,1983/4/8,未婚,O型,茨城県,08,042-957-1535,090-5194-   6,au,左ルー・ナン派
江口 晴臣,えぐち はるおみ,eguchi_haruomi@example.com,男,12,2007/6/4,未婚,A型,大阪府,27,0 3-335-7125,080- 201-9902,ドコモ,左ルー・ナン派
小野田 紗季,おのだ さき,onoda_saki@example.com,女,49,1970/3/26,既婚,B型,神奈川県,14,0 5-174-9976,090-8582-4732,ソフトバンク,左ルー・ルー攻め派
立石 恵子,たちいし けいこ,tachiishi_keiko@example.com,女,70,1949/11/16,既婚,AB型,北海道,01,070-180-3051,090-7122-5005,ソフトバンク,奥ルー・混ぜ混ぜ派
杉浦 誠治,すぎうら せいじ,sugiura_seiji@example.com,男,34,1985/7/10,未婚,O型,大阪府,27,046-158-1889,090- 469-1026,ドコモ,手前ルー・混ぜ混ぜ派
野崎 康文,のざき やすふみ,nozaki_yasufumi@example.com,男,69,1950/5/5,既婚,A型,大阪府,27,073-471- 764,090-2292-2785,ドコモ,左ルー・ルー攻め派
西沢 遥,にしざわ はるか,nishizawa_haruka@example.com,女,27,1993/1/4,既婚,O型,鹿児島県,46,088-450-3801,080-2873-9578,ドコモ,左ルー・せき止め派
宮坂 満,みやさか みつる,miyasaka_mitsuru@example.com,男,38,1981/3/24,既婚,A型,北海道,01,044-365-2132,090-9510-7674,ドコモ,ぶっかけ・混ぜ混ぜ派
酒井 京子,さかい きょうこ,sakai_kyouko@example.com,女,80,1939/11/22,既婚,O型,奈良県,29,053-279-3468,090-1321-3741,ドコモ,左ルー・せき止め派
荒川 獅童,あらかわ しどう,arakawa_shidou@example.com,男,37,1982/5/29,未婚,O型,岡山県,33,037-105-2729,090-5481-8129,ドコモ,右ルー・せき止め派
酒井 恵梨香,さかい えりか,sakai_erika@example.com,女,84,1935/10/12,既婚,A型,福岡県,40,066-630-3471,090-1913-8213,au,ぶっかけ・ルー攻め派
遠藤 英嗣,えんどう ひでつぐ,enndou_hidetsugu@example.com,男,35,1984/9/4,既婚,A型,愛知県,23,035-499-3458,090-2100- 237,ツーカー,左ルー・別口派
伴 昴,ばん すばる,ban_subaru@example.com,男,68,1951/9/9,既婚,B型,広島県,34,063-847- 354,090- 919- 870,ドコモ,奥ルー・せき止め派
筧 涼,かけい りょう,kakei_ryou@example.com,女,67,1953/2/11,既婚,O型,静岡県,22,044-179-9920,080-9781- 870,au,ぶっかけ・せき止め派
北川 理紗,きたがわ りさ,kitagawa_risa@example.com,女,18,2001/2/20,未婚,O型,神奈川県,14,060-829-2774,090-5414-1356,ドコモ,左ルー・ルー攻め派
北川 明宏,きたかわ あきひろ,kitakawa_akihiro@example.com,男,78,1941/12/30,既婚,O型,三重県,24,045-686-8653,080-8276-1174,ドコモ,ぶっかけ・別口派
榊原 碧海,さかきばら おうが,sakakibara_ouga@example.com,男,13,2006/5/11,未婚,O型,三重県,24,087-421-7077,080-3727-6607,ドコモ,奥ルー・ルー攻め派
野際 一哉,のぎわ かずや,nogiwa_kazuya@example.com,男,81,1938/2/20,既婚,B型,福岡県,40,0 8-893-2045,080-8324-8231,au,左ルー・せき止め派
星 公顕,ほし きみあき,hoshi_kimiaki@example.com,男,12,2007/2/26,未婚,AB型,広島県,34,062-510- 677,090-4937-1522,ドコモ,手前ルー・ルー攻め派
柴田 広司,しばた こうじ,shibata_kouji@example.com,男,61,1958/8/2,既婚,A型,東京都,13,082-618-1286,080-6967-1835,ドコモ,右ルー・ルー攻め派
岡崎 晋也,おかざき しんや,okazaki_shinya@example.com,男,15,2004/8/24,未婚,B型,埼玉県,11,037-240-6006,090-9055-9383,ドコモ,ぶっかけ・ルー攻め派
長友 敦,ながとも あつし,nagatomo_atsushi@example.com,男,26,1993/5/24,未婚,O型,東京都,13,0  -259-8527,090-5447-4113,ドコモ,左ルー・ルー攻め派
保坂 法嗣,ほさか ほうし,hosaka_houshi@example.com,男,80,1939/8/20,既婚,O型,鹿児島県,46,051-983-5765,080-7008-7644,ドコモ,左ルー・せき止め派
丸山 扶樹,まるやま もとき,maruyama_motoki@example.com,男,64,1956/1/12,既婚,O型,愛知県,23,068-914-6606,090-4449- 950,ドコモ,右ルー・ルー攻め派
並木 育子,なみき いくこ,namiki_ikuko@example.com,女,30,1989/8/26,既婚,A型,大阪府,27,026-823-4610,090-4274-8754,au,手前ルー・せき止め派
高島 美佐子,たかしま みさこ,takashima_misako@example.com,女,36,1983/3/21,既婚,A型,埼玉県,11,099-478- 232,090-7435-7970,ドコモ,奥ルー・混ぜ混ぜ派
吉井 真一,よしい しんいち,yoshii_shinichi@example.com,男,84,1935/3/23,既婚,A型,茨城県,08,087-399-1640,090-3113-4864,ドコモ,ぶっかけ・別口派
村松 太朗,むらまつ たろう,muramatsu_tarou@example.com,男,69,1950/10/4,既婚,B型,東京都,13,083-399-5088,080-5607-8945,ドコモ,左ルー・せき止め派
大江 京子,おおえ きょうこ,ooe_kyouko@example.com,女,75,1944/6/24,既婚,B型,大阪府,27,064- 95- 731,090-1903-7310,ソフトバンク,左ルー・ナン派
大倉 麗奈,おおくら れな,ookura_rena@example.com,女,40,1979/7/3,既婚,B型,宮城県,04,094-717-9699,090-8331- 949,ドコモ,奥ルー・せき止め派
丹羽 美幸,たんば みゆき,tannba_miyuki@example.com,女,17,2002/8/21,未婚,B型,宮崎県,45,048-757- 865,090-4872-8327,ドコモ,左ルー・ルー攻め派
小高 菜摘,こだか なつみ,kodaka_natsumi@example.com,女,33,1986/7/30,既婚,A型,長野県,20,061-590-2439,080-7535-8482,ドコモ,右ルー・混ぜ混ぜ派
鈴木 玲那,すずき れな,suzuki_rena@example.com,女,80,1939/9/25,既婚,A型,山形県,06,063-301-2666,080-2314-7225,ドコモ,右ルー・別口派
坂井 明慶,さかい あきよし,sakai_akiyoshi@example.com,男,51,1968/3/5,既婚,A型,滋賀県,25,051-891-9084,080- 135-1938,ドコモ,ぶっかけ・別口派
岩本 なつみ,いわもと なつみ,iwamoto_natsumi@example.com,女,42,1977/10/15,既婚,O型,新潟県,15,039-216-9992,080-5471-9410,ドコモ,ぶっかけ・せき止め派
鶴岡 碧海,つるおか おうが,tsuruoka_ouga@example.com,男,59,1960/9/21,既婚,O型,高知県,39,017-812-6067,090-2800-5511,ドコモ,右ルー・せき止め派
池田 敏和,いけだ としかず,ikeda_toshikazu@example.com,男,27,1992/4/25,未婚,A型,東京都,13,021-926-9356,080-8790-9371,au,左ルー・せき止め派
三船 遥,みふね はるか,mifune_haruka@example.com,女,17,2002/6/25,未婚,AB型,大阪府,27,023-181-2316,080-8137-7877,au,右ルー・ルー攻め派
西本 了,にしもと りょう,nishimoto_ryou@example.com,男,66,1953/6/12,既婚,A型,徳島県,36,037-499-1219,080-4817-8316,ドコモ,ぶっかけ・混ぜ混ぜ派
坂東 和之,ばんとう かずゆき,banntou_kazuyuki@example.com,男,17,2002/4/23,未婚,A型,千葉県,12,079-755-7521,090-4326-9556,ドコモ,ぶっかけ・ルー攻め派
小室 奈々,こむろ なな,komuro_nana@example.com,女,37,1982/10/18,既婚,AB型,千葉県,12,0 1-311-9065,080-2892-6237,ドコモ,右ルー・混ぜ混ぜ派
神山 光,かみやま ひかる,kamiyama_hikaru@example.com,男,13,2006/12/15,未婚,O型,東京都,13,097-534-1122,090-4291-5100,ドコモ,手前ルー・混ぜ混ぜ派
大内 隼士,おおうち しゅんじ,oouchi_shunji1@example.com,男,55,1964/9/6,既婚,O型,神奈川県,14,010-454-1904,080-2875-8194,ソフトバンク,左ルー・別口派
内野 完爾,うちの かんじ,uchino_kanji@example.com,男,51,1969/1/28,既婚,B型,愛知県,23,047-636-9435,090-3808-8290,ドコモ,左ルー・せき止め派
ト字 佑,とじ たすく,toji_tasuku@example.com,男,75,1945/1/20,既婚,O型,東京都,13,042-307-5879,090-3787-2697,ソフトバンク,右ルー・ナン派
大和 恵子,やまと けいこ,yamato_keiko@example.com,女,44,1975/7/21,既婚,B型,福岡県,40,095-420- 103,090-9455-1134,ドコモ,手前ルー・せき止め派
小池 みゆき,こいけ みゆき,koike_miyuki@example.com,女,49,1970/5/25,未婚,A型,神奈川県,14,073- 69-6393,090- 858-7756,ドコモ,手前ルー・せき止め派
大河内 里穂,おおこうち りほ,ookouchi_riho@example.com,女,72,1947/9/24,既婚,B型,埼玉県,11,081-240- 391,090-1511-6603,ドコモ,奥ルー・別口派
徳永 洋介,とくなが ようすけ,tokunaga_yousuke@example.com,男,54,1965/9/28,既婚,B型,東京都,13,099- 42-6066,080-5642-6865,au,左ルー・混ぜ混ぜ派
石橋 誠一,いしばし せいいち,ishibashi_seiichi@example.com,男,19,2000/10/29,未婚,B型,大阪府,27,012-892-5643,090-5587-2165,au,右ルー・せき止め派
中井 雅彦,なかい まさひこ,nakai_masahiko@example.com,男,46,1973/6/10,未婚,A型,神奈川県,14,049-146-1579,080-4432-4153,ドコモ,ぶっかけ・せき止め派
土井 結衣,どい ゆい,doi_yui@example.com,女,45,1974/7/4,既婚,B型,埼玉県,11,097-966-9656,090-5209-6211,ドコモ,右ルー・ルー攻め派
稲田 一輝,いなだ かずき,inada_kazuki@example.com,男,83,1936/7/20,既婚,B型,静岡県,22,027-320-8088,080-7183-6661,ドコモ,左ルー・混ぜ混ぜ派
須賀 さんま,すが さんま,suga_sanma@example.com,男,42,1978/1/12,既婚,A型,福岡県,40,013-  6-6552,090-1875-8909,ドコモ,左ルー・ルー攻め派
木戸 あさみ,きど あさみ,kido_asami@example.com,女,42,1977/4/15,既婚,B型,東京都,13,036-969-9651,090-3596-8474,ドコモ,左ルー・ルー攻め派
佐古 満,さこ みつる,sako_mitsuru@example.com,男,46,1973/4/2,既婚,A型,兵庫県,28,091-967-7523,090-8292-7027,au,奥ルー・別口派
関谷 信吾,せきや しんご,sekiya_shingo@example.com,男,72,1947/10/27,既婚,A型,東京都,13,083-664-3786,090-8970-2350,au,手前ルー・ルー攻め派
寺井 亮,てらい りょう,terai_ryou@example.com,男,67,1952/8/9,既婚,O型,滋賀県,25,093- 96- 464,090-1213-9859,ドコモ,別盛り・ルー攻め派
橘 隆太,たちばな りゅうた,tachibana_ryuuta@example.com,男,13,2006/4/30,未婚,A型,埼玉県,11,077-109-6508,090-5468-7793,ソフトバンク,ぶっかけ・せき止め派
菅野 あさみ,すがの あさみ,sugano_asami@example.com,女,22,1997/11/12,未婚,O型,東京都,13,027-717-4101,090-2626-4260,au,別盛り・せき止め派
新垣 りえ,あらがき りえ,aragaki_rie@example.com,女,10,2009/8/28,未婚,A型,山形県,06,024-478-5418,090-8159-6451,ドコモ,ぶっかけ・せき止め派
森 茜,もり あかね,mori_akane@example.com,女,58,1961/9/9,既婚,A型,大分県,44,0 3- 92-1379,080-1083-3502,ソフトバンク,左ルー・別口派
坂井 鉄二,さかい てつじ,sakai_tetsuji@example.com,男,65,1954/3/13,既婚,A型,兵庫県,28,098-877-  71,080-4678- 860,ドコモ,ぶっかけ・混ぜ混ぜ派
綾小路 翔子,あやのこうじ しょうこ,ayanokouji_shouko@example.com,女,31,1989/2/3,既婚,O型,愛媛県,38,020-930-6787,080-6603-5867,ドコモ,右ルー・ナン派
上村 恵梨香,うえむら えりか,uemura_erika@example.com,女,83,1936/4/10,既婚,B型,千葉県,12,098-801-5685,080- 914-6425,au,ぶっかけ・ルー攻め派
吹石 はじめ,ふきいし はじめ,fukiishi_hajime@example.com,男,32,1987/8/26,既婚,B型,山口県,35,047-169-7667,080-2835-1066,ドコモ,奥ルー・せき止め派
堀井 コウ,ほりい こう,horii_kou@example.com,女,72,1947/9/9,既婚,B型,千葉県,12,060-997-8768,090- 526-7285,ドコモ,手前ルー・別口派
千田 裕司,せんだ ゆうじ,sennda_yuuji@example.com,男,77,1942/11/22,既婚,B型,岐阜県,21,034-925-2752,080-6922-8310,ソフトバンク,左ルー・ルー攻め派
三田 愛子,みた あいこ,mita_aiko@example.com,女,83,1937/1/21,既婚,O型,愛媛県,38,072-791-1201,080-7228-2881,ソフトバンク,左ルー・混ぜ混ぜ派
瀬戸 倫子,せと のりこ,seto_noriko@example.com,女,83,1936/9/30,既婚,O型,千葉県,12,055-758-1378,090-6685-5512,ドコモ,奥ルー・せき止め派
立川 聡,たちかわ さとし,tachikawa_satoshi@example.com,男,67,1952/4/14,既婚,A型,大分県,44,036-102-1075,090-5470- 817,au,ぶっかけ・混ぜ混ぜ派
城田 南朋,しろた なお,shirota_nao@example.com,女,48,1971/3/8,既婚,A型,群馬県,10,042- 97-9708,090-7691-6440,ソフトバンク,右ルー・別口派
福地 窈,ふくち よう,fukuchi_you@example.com,女,50,1969/2/22,既婚,O型,東京都,13,022-541-5077,090-6551-3520,ドコモ,左ルー・別口派
柄本 了,えもと りょう,emoto_ryou@example.com,男,32,1987/11/4,既婚,A型,北海道,01,094-341-3987,080-3864-5816,au,左ルー・ルー攻め派
前川 一樹,まえかわ かずき,maekawa_kazuki@example.com,男,44,1975/12/28,既婚,B型,三重県,24,0 2-526-3360,080-8940-6954,au,手前ルー・せき止め派
岸田 かおり,きしだ かおり,kishida_kaori@example.com,女,34,1985/3/23,未婚,A型,大阪府,27,058-455-4889,080-9193-7140,ドコモ,右ルー・せき止め派
川野 孝太郎,かわの こうたろう,kawano_koutarou@example.com,男,10,2009/12/20,未婚,O型,栃木県,09,061- 58- 807,090-9924-6297,ソフトバンク,左ルー・せき止め派
中尾 良介,なかお りょうすけ,nakao_ryousuke@example.com,男,81,1938/3/21,既婚,A型,京都府,26,0 3-198-8547,090-8565-3908,ドコモ,左ルー・別口派
川瀬 華子,かわせ はなこ,kawase_hanako@example.com,女,58,1961/9/20,既婚,AB型,東京都,13,093- 74-6107,090-7949-9740,ドコモ,右ルー・混ぜ混ぜ派
島田 奈央,しまだ なお,shimada_nao@example.com,女,61,1958/7/7,既婚,A型,千葉県,12,031-712-5940,090-2691-9445,ドコモ,ぶっかけ・ルー攻め派
田口 碧海,たぐち おうが,taguchi_ouga@example.com,男,74,1945/8/13,既婚,A型,高知県,39,069- 91-7750,090-1720-1564,ソフトバンク,左ルー・ナン派
内村 砂羽,うちむら さわ,uchimura_sawa@example.com,女,13,2006/5/30,未婚,A型,岐阜県,21,0 7-229-6652,080-8424-4146,au,ぶっかけ・ルー攻め派
岩本 晋也,いわもと しんや,iwamoto_shinya@example.com,男,85,1934/12/9,既婚,A型,大阪府,27,011-789- 736,090-8751-6031,ドコモ,右ルー・混ぜ混ぜ派
武井 奈月,たけい なつき,takei_natsuki@example.com,女,83,1936/10/13,既婚,B型,神奈川県,14,089-623-7447,080-6496-4267,ドコモ,手前ルー・混ぜ混ぜ派
日野 恵美,ひの めぐみ,hino_megumi@example.com,女,10,2009/7/17,未婚,B型,茨城県,08,0 4-920-1645,080-2750-3174,ソフトバンク,左ルー・せき止め派
伊丹 ヒカル,いたみ ひかる,itami_hikaru@example.com,女,61,1958/5/31,既婚,O型,福岡県,40,0 8-305-1190,090-4919-6701,ドコモ,ぶっかけ・混ぜ混ぜ派
青野 沙耶,あおの さや,aono_saya@example.com,女,33,1986/4/26,未婚,A型,鹿児島県,46,0 1-810-7990,090-4804-1542,au,奥ルー・混ぜ混ぜ派
江口 一,えぐち はじめ,eguchi_hajime@example.com,男,66,1953/2/21,既婚,O型,福岡県,40,099-368-5934,080-1581-9435,au,右ルー・ルー攻め派
吉崎 妃里,よしざき ゆり,yoshizaki_yuri@example.com,女,71,1948/11/23,既婚,B型,東京都,13,078-501- 989,080-4412- 158,ドコモ,左ルー・ルー攻め派
栗山 直人,くりやま なおと,kuriyama_naoto@example.com,男,24,1995/4/2,未婚,B型,大阪府,27,0  - 19-3477,080-2213-9941,au,奥ルー・せき止め派
新井 一代,あらい かずよ,arai_kazuyo@example.com,女,48,1971/4/12,既婚,O型,大阪府,27,041-953-8511,080-6915-8340,ソフトバンク,左ルー・ナン派
赤羽 莉緒,あかばね りお,akabane_rio@example.com,女,33,1986/4/3,既婚,O型,京都府,26,046-362-3663,090-4580-5145,ドコモ,ぶっかけ・混ぜ混ぜ派
高岡 裕次郎,たかおか ゆうじろう,takaoka_yuujirou@example.com,男,84,1935/4/5,既婚,O型,熊本県,43,066-625-9405,080-8436-    ,au,ぶっかけ・せき止め派
坂田 薫,さかた かおる,sakata_kaoru@example.com,女,38,1982/1/26,既婚,B型,東京都,13,072-835-9337,080-1743-6764,ドコモ,左ルー・ルー攻め派
浅野 崇史,あさの たかし,asano_takashi@example.com,男,79,1940/12/28,既婚,O型,鹿児島県,46,023-437- 762,090-3740-9727,ドコモ,ぶっかけ・ルー攻め派
庄司 蒼甫,しょうじ そうすけ,shouji_sousuke@example.com,男,23,1996/11/29,未婚,A型,千葉県,12,052-739-5687,090-9436-7496,ツーカー,右ルー・せき止め派
山川 春樹,やまかわ はるき,yamakawa_haruki@example.com,女,10,2009/2/26,未婚,A型,長野県,20,015-747-3576,080-8252-9392,ソフトバンク,奥ルー・別口派
立川 あき,たちかわ あき,tachikawa_aki@example.com,女,13,2006/3/2,未婚,O型,東京都,13,016- 13-1786,080-8469-3086,ドコモ,右ルー・混ぜ混ぜ派
青木 明,あおき あきら,aoki_akira@example.com,男,75,1944/9/15,既婚,B型,神奈川県,14,091-766-6656,080-  99-5130,ドコモ,右ルー・ナン派
松崎 染五郎,まつざき そめごろう,matsuzaki_somegorou@example.com,男,53,1966/3/19,既婚,A型,埼玉県,11,091-784-4993,090-1133-4783,ドコモ,ぶっかけ・せき止め派
蛍原 遥,ほとはら はるか,hotohara_haruka@example.com,女,42,1977/10/9,既婚,A型,大阪府,27,038-985-7549,090- 208- 411,au,ぶっかけ・ルー攻め派
横尾 真悠子,よこお まゆこ,yokoo_mayuko@example.com,女,46,1973/9/27,既婚,O型,東京都,13,048-446-4250,080-5516-6374,au,奥ルー・ルー攻め派
海音寺 景子,かいおんじ けいこ,kaionji_keiko@example.com,女,70,1949/4/13,既婚,B型,埼玉県,11,065-242-1691,080-8047-4159,ドコモ,ぶっかけ・混ぜ混ぜ派
塩谷 哲平,しおたに てっぺい,shiotani_teppei@example.com,男,73,1946/3/6,既婚,B型,秋田県,05,080-101- 668,080-1246- 553,ソフトバンク,ぶっかけ・せき止め派
増井 利夫,ますい としお,masui_toshio@example.com,男,64,1955/12/21,既婚,O型,神奈川県,14,016-835-4662,090-7166-7265,au,ぶっかけ・混ぜ混ぜ派
井本 たかお,いもと たかお,imoto_takao@example.com,男,22,1997/3/6,未婚,B型,広島県,34,073- 73-4352,080-5649-9450,au,左ルー・せき止め派
三輪 莉央,みわ りお,miwa_rio@example.com,女,33,1986/5/10,既婚,B型,佐賀県,41,052-222-1396,080- 697-7671,ドコモ,ぶっかけ・別口派
岡本 利夫,おかもと としお,okamoto_toshio@example.com,男,16,2003/11/29,未婚,O型,千葉県,12,069-414-3848,080-3038-6927,ドコモ,ぶっかけ・せき止め派
宮下 みき,みやした みき,miyashita_miki@example.com,女,20,1999/4/29,未婚,A型,愛知県,23,012-528-3613,090-3931-8158,ドコモ,別盛り・ナン派
