名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
奥村 賢治,おくむら けんじ,okumura_kenji@example.com,男,78,1941/8/27,既婚,A型,宮崎県,065-894-4069,090-1646-8677,au,左ルー・せき止め派
岸本 鉄二,きしもと てつじ,kishimoto_tetsuji@example.com,男,78,1942/1/30,既婚,O型,大阪府,036-326- 878,090-2254- 740,ドコモ,ぶっかけ・ルー攻め派
児島 徹,こじま とおる,kojima_tooru1@example.com,男,42,1977/7/5,既婚,A型,岐阜県,054-155-6735,090-5570-9091,ソフトバンク,右ルー・別口派
塚本 一,つかもと はじめ,tsukamoto_hajime@example.com,男,34,1985/6/16,既婚,AB型,大阪府,029-837- 982,090-7787-1130,ドコモ,奥ルー・せき止め派
木本 聡,きもと さとし,kimoto_satoshi@example.com,男,58,1961/6/15,既婚,A型,和歌山県,027-674-3943,090-4262-6939,ドコモ,左ルー・ルー攻め派
沢尻 そら,さわじり そら,sawajiri_sora@example.com,女,32,1987/4/24,既婚,A型,栃木県,032- 94-7931,090-2630-2390,au,右ルー・別口派
野際 みき,のぎわ みき,nogiwa_miki@example.com,女,45,1974/10/29,既婚,O型,大阪府,020-468-1976,080-4811-6221,ソフトバンク,奥ルー・ナン派
パンツェッタ 華子,ぱんつぇった はなこ,panzetta_hanako@example.com,女,72,1947/10/5,既婚,A型,北海道,017-917-2822,080-1584- 998,ソフトバンク,奥ルー・ルー攻め派
藤原 明日,ふじわら めいび,fujiwara_meibi@example.com,女,53,1967/1/7,既婚,AB型,福岡県,063-753-1709,090-6616-5136,ドコモ,左ルー・ナン派
長友 兼,ながとも けん,nagatomo_ken@example.com,男,73,1946/7/18,既婚,AB型,兵庫県,0 3-612- 642,080-2739-8705,au,ぶっかけ・せき止め派
浅田 真奈美,あさだ まなみ,asada_manami@example.com,女,47,1972/12/10,既婚,A型,神奈川県,047-  4-6886,080-1299-6563,au,右ルー・せき止め派
荻野 直人,おぎの なおと,ogino_naoto@example.com,男,33,1986/5/31,既婚,AB型,大阪府,072-876-5858,090-5865-1815,ドコモ,左ルー・ナン派
島袋 涼,しまぶくろ りょう,shimabukuro_ryou@example.com,女,55,1964/12/28,既婚,O型,愛知県,094- 85-6624,080-5722-2107,ツーカー,右ルー・別口派
彼方 真一,かなた しんいち,kanata_shinichi@example.com,男,60,1959/7/5,既婚,O型,佐賀県,077- 88-8160,090-2303-3689,ドコモ,左ルー・別口派
奥寺 綾,おくでら あや,okudera_aya@example.com,女,43,1976/11/18,未婚,A型,秋田県,094-866-2575,090-4475-2363,ドコモ,右ルー・ナン派
竹中 季衣,たけなか としえ,takenaka_toshie@example.com,女,39,1980/5/28,既婚,AB型,山口県,099-944-6110,080-3129-4783,ドコモ,左ルー・別口派
荒川 きみまろ,あらかわ きみまろ,arakawa_kimimaro@example.com,男,69,1950/7/8,既婚,B型,東京都,0 5-925-1151,090-5686-9403,ソフトバンク,奥ルー・ナン派
益岡 達士,ますおか たつひと,masuoka_tatsuhito@example.com,男,35,1984/10/26,既婚,AB型,埼玉県,068-430-1304,080-5061-7132,ドコモ,奥ルー・ルー攻め派
中園 明,なかぞの あきら,nakazono_akira@example.com,男,24,1995/8/29,既婚,B型,神奈川県,066-663-2424,090-6583-4354,au,左ルー・混ぜ混ぜ派
倉持 有海,くらもち あみ,kuramochi_ami@example.com,女,61,1959/1/7,既婚,A型,新潟県,067-155-6505,090-8944-4704,ドコモ,奥ルー・混ぜ混ぜ派
亀田 桃子,かめだ ももこ,kameda_momoko@example.com,女,53,1966/9/10,既婚,A型,埼玉県,032-213-3653,080-9036-5640,ドコモ,ぶっかけ・ルー攻め派
沢村 なぎさ,さわむら なぎさ,sawamura_nagisa@example.com,女,47,1972/5/10,既婚,B型,石川県,035-212-3773,080-7489- 276,ドコモ,手前ルー・せき止め派
宮坂 浩太郎,みやさか こうたろう,miyasaka_koutarou@example.com,男,71,1948/8/16,既婚,O型,東京都,026- 26-7693,080-5100-9987,au,左ルー・せき止め派
河原 はるみ,かわはら はるみ,kawahara_harumi@example.com,女,27,1992/7/6,既婚,B型,福島県,024-141-1575,080-7024-9696,ソフトバンク,左ルー・別口派
高沢 鉄洋,たかさわ てつひろ,takasawa_tetsuhiro@example.com,男,34,1985/8/24,未婚,O型,千葉県,037-686-3533,090-1904-6634,ソフトバンク,奥ルー・混ぜ混ぜ派
日野 照生,ひの てるお,hino_teruo@example.com,男,58,1961/5/7,既婚,O型,埼玉県,054-713-4014,090-7137- 356,ドコモ,手前ルー・せき止め派
尾崎 建,おざき けん,ozaki_ken@example.com,男,43,1976/5/20,未婚,A型,青森県,061-929-4437,080-9272- 727,ドコモ,ぶっかけ・せき止め派
平山 希,ひらやま のぞみ,hirayama_nozomi@example.com,女,35,1984/12/3,既婚,B型,石川県,083-883-7892,090-4638-6512,ソフトバンク,手前ルー・混ぜ混ぜ派
浦野 正義,うらの まさよし,urano_masayoshi@example.com,男,31,1988/10/13,既婚,A型,神奈川県,033-625-3551,080- 929-6521,ソフトバンク,別盛り・せき止め派
大和田 竜也,おおわだ たつや,oowada_tatsuya@example.com,男,34,1985/11/24,既婚,A型,滋賀県,077-380-9690,080-3268-7395,au,左ルー・混ぜ混ぜ派
北川 フミヤ,きたかわ ふみや,kitakawa_fumiya@example.com,男,56,1963/10/12,既婚,A型,京都府,074-494-8974,090-9763-9574,ツーカー,右ルー・混ぜ混ぜ派
染谷 隼士,そめや しゅんじ,someya_shunji@example.com,男,47,1972/9/8,既婚,A型,徳島県,079-367-4126,090-6443-2392,au,別盛り・混ぜ混ぜ派
真田 杏,さなだ あん,sanada_ann@example.com,女,30,1989/5/23,既婚,O型,鳥取県,052-101-8515,080-2248-6967,ソフトバンク,左ルー・混ぜ混ぜ派
沖 竜也,おき たつや,oki_tatsuya@example.com,男,60,1959/10/7,既婚,B型,熊本県,046-693-4911,080-9629-4253,au,手前ルー・ナン派
須藤 正敏,すどう まさとし,sudou_masatoshi@example.com,男,57,1963/1/25,既婚,A型,大阪府,074-946- 838,080-6110-2257,ドコモ,左ルー・せき止め派
植村 恵子,うえむら けいこ,uemura_keiko@example.com,女,51,1968/5/5,既婚,B型,大阪府,018-580-2812,080-2277-9454,ドコモ,左ルー・別口派
吉原 沙知絵,よしわら さちえ,yoshiwara_sachie@example.com,女,58,1961/6/10,既婚,O型,埼玉県,017- 27-2239,090-3869- 686,au,左ルー・別口派
布川 大五郎,ふかわ だいごろう,fukawa_daigorou@example.com,男,29,1990/7/25,既婚,AB型,千葉県,032-625-7138,080-3366- 646,au,ぶっかけ・せき止め派
岩田 法子,いわた のりこ,iwata_noriko@example.com,女,20,1999/10/19,既婚,A型,埼玉県,037-465-9549,090-7021-1422,ドコモ,ぶっかけ・ルー攻め派
安藤 結子,あんどう ゆうこ,anndou_yuuko@example.com,女,70,1949/11/20,既婚,O型,長野県,097- 67-8121,080-1659-5810,ソフトバンク,右ルー・別口派
牧野 七世,まきの ななせ,makino_nanase@example.com,女,47,1972/5/7,既婚,O型,大阪府,012-792-4982,080-4651-1749,au,左ルー・別口派
野原 めぐみ,のはら めぐみ,nohara_megumi@example.com,女,60,1959/3/23,既婚,B型,山梨県,099-809-7410,090- 728-5846,ドコモ,左ルー・混ぜ混ぜ派
川上 由宇,かわかみ ゆう,kawakami_yuu@example.com,女,63,1956/3/1,既婚,B型,茨城県,084-160-3435,080-9053-3516,au,右ルー・ルー攻め派
西脇 新太,にしわき あらた,nishiwaki_arata@example.com,男,34,1985/3/31,既婚,O型,三重県,051-101-6749,080-6391-6628,ドコモ,別盛り・ルー攻め派
大林 六郎,おおばやし ろくろう,oobayashi_rokurou@example.com,男,23,1996/12/12,未婚,A型,鳥取県,035-176-3168,080-2174-6053,ソフトバンク,ぶっかけ・混ぜ混ぜ派
長谷部 晃司,はせべ こうじ,hasebe_kouji@example.com,男,67,1952/7/1,既婚,A型,京都府,052-769-6916,090-2401-9658,au,左ルー・混ぜ混ぜ派
成海 はるみ,なるみ はるみ,narumi_harumi@example.com,女,63,1956/7/14,既婚,B型,千葉県,095-600-7594,080-9525-7544,au,左ルー・混ぜ混ぜ派
浜本 智花,はまもと ともか,hamamoto_tomoka@example.com,女,31,1988/2/26,既婚,A型,福岡県,063-382-6931,080-7995-2051,ソフトバンク,手前ルー・せき止め派
古屋 瞬,ふるや しゅん,furuya_shun@example.com,男,72,1947/12/11,既婚,B型,愛知県,012-417-7973,080-9642-8442,ドコモ,左ルー・別口派
高田 広之,たかだ ひろゆき,takada_hiroyuki@example.com,男,60,1959/10/23,既婚,O型,大阪府,0 4-945-1685,090-2433- 837,au,ぶっかけ・別口派
磯村 勇,いそむら ゆう,isomura_yuu@example.com,女,29,1990/5/17,既婚,A型,東京都,051-948-1650,080-6641-4862,ドコモ,左ルー・せき止め派
川添 詩織,かわぞえ しおり,kawazoe_shiori@example.com,女,48,1971/6/3,既婚,A型,和歌山県,047-663-8080,080- 660-9017,au,右ルー・ルー攻め派
桜井 優,さくらい ゆう,sakurai_yuu@example.com,女,46,1973/12/6,既婚,AB型,広島県,072-918-2594,090-8707-8758,ソフトバンク,左ルー・せき止め派
鎌田 育二,かまた いくじ,kamata_ikuji@example.com,男,29,1990/8/1,既婚,A型,静岡県,037-416-8268,080- 672-9574,ドコモ,左ルー・せき止め派
柳 研二,やなぎ けんじ,yanagi_kenji@example.com,男,67,1952/7/2,既婚,A型,奈良県,058-173-2771,080-9916-9575,ドコモ,左ルー・せき止め派
川村 博明,かわむら ひろあき,kawamura_hiroaki@example.com,男,42,1977/8/8,既婚,B型,千葉県,061-375-7799,080-3556-3371,ドコモ,左ルー・ルー攻め派
奥田 竜次,おくだ りゅうじ,okuda_ryuuji@example.com,男,80,1939/11/27,既婚,B型,茨城県,060-325-2175,080-1540-2951,ドコモ,別盛り・せき止め派
高見 花緑,たかみ かろく,takami_karoku@example.com,男,63,1956/4/25,既婚,O型,兵庫県,027-797-8765,090- 480-1358,ソフトバンク,左ルー・混ぜ混ぜ派
藤原 なつみ,ふじわら なつみ,fujiwara_natsumi@example.com,女,29,1990/8/27,未婚,A型,静岡県,0 1-330-2421,090-5738-1499,ドコモ,左ルー・別口派
大平 瑠璃亜,おおひら るりあ,oohira_ruria@example.com,女,52,1967/12/25,未婚,A型,愛知県,0 8-516-6436,080- 981-3230,ドコモ,左ルー・ルー攻め派
金森 勇一,かなもり ゆういち,kanamori_yuuichi@example.com,男,74,1945/12/28,既婚,B型,群馬県,075-373- 212,080-5787- 444,au,左ルー・ナン派
菅野 沙耶,すがの さや,sugano_saya@example.com,女,18,2001/11/14,未婚,A型,岐阜県,023-452-6728,080-  94-3164,ドコモ,右ルー・ルー攻め派
依田 ケンイチ,よりた けんいち,yorita_kenichi@example.com,男,26,1993/10/18,既婚,O型,鹿児島県,0 2-832-6871,080-9007-3440,ドコモ,ぶっかけ・せき止め派
塩田 耕司,しおた こうじ,shiota_kouji@example.com,男,35,1984/3/7,既婚,A型,栃木県,012-830-1909,080- 790-6019,ドコモ,ぶっかけ・混ぜ混ぜ派
池上 麻緒,いけがみ まお,ikegami_mao@example.com,女,77,1942/4/26,既婚,O型,東京都,098-631-9952,080-9994-8524,ドコモ,左ルー・混ぜ混ぜ派
森永 寛,もりなが ひろし,morinaga_hiroshi@example.com,男,45,1974/9/2,未婚,O型,大分県,099-259-3665,090-6203-6456,ソフトバンク,奥ルー・ルー攻め派
武 あい,たけ あい,take_ai@example.com,女,69,1950/12/25,既婚,A型,茨城県,089-886-7878,090-2382-3491,au,奥ルー・別口派
小沼 瑠璃亜,こぬま るりあ,konuma_ruria@example.com,女,43,1977/1/28,既婚,O型,愛媛県,094-882-9404,090-3431- 127,ドコモ,ぶっかけ・混ぜ混ぜ派
谷 涼子,たに りょうこ,tani_ryouko@example.com,女,79,1940/4/2,既婚,A型,埼玉県,061-557-5019,080-3008-4594,ドコモ,ぶっかけ・せき止め派
杉原 千夏,すぎはら ちなつ,sugihara_chinatsu@example.com,女,74,1945/11/21,既婚,O型,兵庫県,083-554-2715,090-3646-1235,ドコモ,奥ルー・せき止め派
諏訪 竜次,すわ りゅうじ,suwa_ryuuji@example.com,男,77,1942/5/20,既婚,B型,埼玉県,074-113-5326,090-9118-1933,ソフトバンク,ぶっかけ・ルー攻め派
杉野 美月,すぎの みづき,sugino_miduki@example.com,女,68,1951/10/3,既婚,O型,東京都,0 5-430-4562,090-6958-8465,ソフトバンク,ぶっかけ・せき止め派
大谷 愛子,おおたに あいこ,ootani_aiko@example.com,女,48,1971/8/17,既婚,B型,愛知県,037-  1-6078,090-7541-8716,ドコモ,奥ルー・ルー攻め派
仲村 芽以,なかむら めい,nakamura_mei@example.com,女,27,1992/10/28,未婚,O型,群馬県,075-446-4224,080-2493-9734,ドコモ,ぶっかけ・別口派
赤木 豊,あかぎ ゆたか,akagi_yutaka@example.com,男,42,1977/3/16,既婚,A型,愛知県,017-331-3555,080-5459-3169,ドコモ,右ルー・ルー攻め派
余 みゆき,よ みゆき,yo_miyuki@example.com,女,23,1996/10/4,未婚,B型,栃木県,020-736-2916,080- 333-9481,au,左ルー・別口派
清田 まひる,きよた まひる,kiyota_mahiru@example.com,女,72,1947/8/19,既婚,A型,富山県,051-833-7501,090-7903- 802,au,左ルー・別口派
増田 康文,ますだ やすふみ,masuda_yasufumi@example.com,男,80,1940/1/2,既婚,A型,茨城県,097-611-1287,090-7292- 357,ドコモ,左ルー・ナン派
大和田 だん吉,おおわだ だんきち,oowada_dankichi@example.com,男,25,1994/9/13,既婚,O型,神奈川県,082-807-5681,090-9987-2080,ドコモ,別盛り・せき止め派
杉村 菊生,すぎむら きくお,sugimura_kikuo@example.com,男,31,1988/8/10,既婚,A型,茨城県,065-865-8201,090-4941-1328,au,左ルー・せき止め派
横川 隆,よこかわ たかし,yokokawa_takashi@example.com,男,38,1982/1/24,未婚,B型,東京都,0 6-825-2062,090-2827-7986,ドコモ,奥ルー・せき止め派
戸田 なぎさ,とだ なぎさ,toda_nagisa@example.com,女,32,1987/5/23,既婚,O型,奈良県,075-353-9921,090-7771-1920,ドコモ,ぶっかけ・せき止め派
酒井 寿明,さかい としあき,sakai_toshiaki@example.com,男,50,1969/4/5,既婚,O型,群馬県,043-990-  82,080-3425-3553,ソフトバンク,左ルー・混ぜ混ぜ派
中山 丈史,なかやま たけし,nakayama_takeshi@example.com,男,78,1941/4/1,既婚,AB型,富山県,075-821-3638,080-5379-4987,ドコモ,ぶっかけ・ルー攻め派
土屋 莉央,つちや りお,tsuchiya_rio@example.com,女,70,1949/7/16,既婚,B型,長野県,066-420-2008,090-2549-9692,ドコモ,ぶっかけ・せき止め派
大沼 愛梨,おおぬま あいり,oonuma_airi@example.com,女,25,1994/4/18,未婚,AB型,山形県,051-558-2505,090-2684-4858,ソフトバンク,右ルー・混ぜ混ぜ派
森山 真吾,もりやま しんご,moriyama_shingo@example.com,男,48,1971/8/6,未婚,A型,大阪府,012-245-2611,080-5718-5170,ドコモ,左ルー・別口派
森 春樹,もり はるき,mori_haruki@example.com,女,58,1961/9/18,既婚,A型,東京都,078-592-1640,080-7427-1288,au,ぶっかけ・別口派
生田 亜希,なまた あき,namata_aki@example.com,女,66,1953/9/11,既婚,A型,福島県,029- 26- 330,090-2128-7422,au,奥ルー・せき止め派
今 結子,こん ゆうこ,kon_yuuko@example.com,女,64,1955/4/30,既婚,B型,高知県,038-203-7835,090-1419-1155,ドコモ,右ルー・せき止め派
西野 賢二,にしの けんじ,nishino_kenji@example.com,男,51,1968/4/23,既婚,AB型,広島県,041-799- 584,090-2434-8782,au,左ルー・せき止め派
村上 昌代,むらかみ まさよ,murakami_masayo@example.com,女,26,1994/1/23,既婚,A型,石川県,0 6- 46-2488,080-6822-7055,ソフトバンク,左ルー・混ぜ混ぜ派
川西 雄太,かわにし ゆうた,kawanishi_yuuta@example.com,男,41,1978/11/4,未婚,A型,北海道,020-844-7548,090- 572-7735,ドコモ,ぶっかけ・せき止め派
内野 春樹,うちの はるき,uchino_haruki@example.com,女,58,1961/9/26,既婚,B型,青森県,077-899-1130,090-1183-4576,ドコモ,右ルー・別口派
河原 直人,かわはら なおと,kawahara_naoto@example.com,男,22,1998/1/20,未婚,A型,愛知県,084-532-6602,080-8868-3686,ドコモ,ぶっかけ・ルー攻め派
中岡 惇,なかおか あつし,nakaoka_atsushi@example.com,男,71,1948/9/2,既婚,A型,大阪府,017-527-2325,090-4533-5134,ソフトバンク,右ルー・ナン派
柏木 誠一,かしわぎ せいいち,kashiwagi_seiichi@example.com,男,73,1946/3/24,既婚,A型,北海道,086-705-2321,080-3906-4818,au,ぶっかけ・せき止め派
相馬 由宇,あいば ゆう,aiba_yuu@example.com,女,23,1996/3/16,既婚,AB型,京都府,087-228-1129,090-1479- 290,ドコモ,左ルー・せき止め派
勝又 祐一,かつまた ゆういち,katsumata_yuuichi@example.com,男,43,1976/7/10,既婚,O型,神奈川県,094-311-4330,080-3847-5337,ドコモ,左ルー・ルー攻め派
河野 陽介,こうの ようすけ,kouno_yousuke@example.com,男,27,1992/10/18,既婚,B型,愛知県,035- 34-6989,080-6105-8110,ドコモ,ぶっかけ・ナン派
鎌田 崇史,かまた たかし,kamata_takashi@example.com,男,42,1977/9/9,既婚,A型,東京都,052-647-1116,090-4340- 585,ドコモ,右ルー・混ぜ混ぜ派
榎本 幸平,えのもと こうへい,enomoto_kouhei@example.com,男,37,1982/5/5,既婚,B型,岩手県,017- 49-4007,080-4733- 873,ドコモ,左ルー・ルー攻め派
寺尾 翔子,てらお しょうこ,terao_shouko@example.com,女,36,1983/8/18,既婚,A型,千葉県,023-807-5041,090-1946-1011,ソフトバンク,左ルー・ルー攻め派
仲田 勇,なかた ゆう,nakata_yuu@example.com,女,33,1986/6/21,未婚,O型,千葉県,097-935-4695,080-7149-3198,ドコモ,ぶっかけ・ルー攻め派
山西 真悠子,やまにし まゆこ,yamanishi_mayuko@example.com,女,30,1989/5/30,既婚,B型,神奈川県,070-986-5082,080-2274-7861,ドコモ,左ルー・ナン派
川原 弘也,かわはら ひろなり,kawahara_hironari@example.com,男,26,1993/12/6,未婚,AB型,兵庫県,036-995-8971,090- 591-8599,ドコモ,ぶっかけ・ルー攻め派
木内 サンタマリア,きうち さんたまりあ,kiuchi_stmaria@example.com,女,50,1969/10/11,既婚,A型,長野県,046-621-4586,080- 356- 864,au,ぶっかけ・別口派
神谷 礼子,かみや れいこ,kamiya_reiko@example.com,女,50,1969/9/11,既婚,O型,秋田県,011-170-6593,090-7998-6359,au,奥ルー・せき止め派
石丸 仁晶,いしまる ひろあき,ishimaru_hiroaki@example.com,男,78,1941/8/27,既婚,O型,京都府,033-846-5163,080-1550-5807,ドコモ,左ルー・別口派
森本 貴嶺,もりもと たかね,morimoto_takane@example.com,男,42,1977/9/23,既婚,A型,大阪府,096-729-3436,090-6937-1093,ドコモ,右ルー・せき止め派
石井 ひとみ,いしい ひとみ,ishii_hitomi@example.com,女,56,1963/3/21,既婚,A型,東京都,011-668- 130,090-7376-6767,ドコモ,ぶっかけ・混ぜ混ぜ派
松下 華子,まつした はなこ,matsushita_hanako@example.com,女,40,1979/12/20,既婚,A型,東京都,036-147-6785,080-5906-3446,ドコモ,左ルー・混ぜ混ぜ派
石川 光良,いしかわ てるよし,ishikawa_teruyoshi@example.com,男,64,1955/5/26,既婚,O型,静岡県,0 1-916-7875,090-5457-6549,ドコモ,手前ルー・別口派
池内 優,いけうち ゆう,ikeuchi_yuu@example.com,女,26,1993/10/11,既婚,A型,愛知県,021-380-5631,090-9102-4957,ソフトバンク,左ルー・混ぜ混ぜ派
藤 ひとみ,ふじ ひとみ,fuji_hitomi@example.com,女,62,1957/2/24,既婚,B型,愛知県,0 1- 70-5064,090-2698-5802,ドコモ,左ルー・せき止め派
野本 麻緒,のもと まお,nomoto_mao@example.com,女,76,1943/7/4,既婚,O型,岐阜県,0 7-940-9343,090-7297-9420,au,左ルー・せき止め派
勝田 直人,かつだ なおと,katsuda_naoto@example.com,男,78,1941/4/27,既婚,A型,福島県,021-651-9839,080-3927- 807,ソフトバンク,ぶっかけ・ナン派
池田 由宇,いけだ ゆう,ikeda_yuu@example.com,女,35,1985/1/23,既婚,O型,群馬県,025-841-5044,080-8338-5795,au,右ルー・ナン派
金田 宏,かねだ ひろし,kaneda_hiroshi@example.com,男,55,1964/7/21,既婚,A型,兵庫県,081-958-7768,090-4257-2871,ドコモ,右ルー・別口派
橘 愛子,たちばな あいこ,tachibana_aiko@example.com,女,60,1959/3/7,既婚,A型,青森県,069-541-9108,090-8555-8660,ドコモ,奥ルー・せき止め派
鎌田 そら,かまた そら,kamata_sora@example.com,女,19,2000/12/29,未婚,O型,東京都,089-984-3923,080-4572-6111,ソフトバンク,手前ルー・ルー攻め派
篠山 未來,しのやま みらい,shinoyama_mirai@example.com,女,80,1939/5/22,既婚,O型,岡山県,029-994- 646,080-5112- 769,ドコモ,左ルー・ルー攻め派
長沢 郁恵,ながさわ いくえ,nagasawa_ikue@example.com,女,73,1946/11/8,既婚,B型,愛知県,011- 43-4877,090-3330-1673,ドコモ,ぶっかけ・ルー攻め派
大木 ひとみ,おおき ひとみ,ooki_hitomi@example.com,女,66,1953/7/8,既婚,AB型,埼玉県,011-712- 269,080-6429-8563,ドコモ,奥ルー・混ぜ混ぜ派
宇都宮 礼子,うつのみや れいこ,utsunomiya_reiko@example.com,女,51,1969/1/15,既婚,A型,福島県,078-694-1229,080-8286-9661,ソフトバンク,左ルー・せき止め派
西原 コウ,にしはら こう,nishihara_kou@example.com,女,22,1997/9/18,未婚,O型,岡山県,094-630-9249,080-3339-3866,ドコモ,左ルー・ルー攻め派
平野 慶太,ひらの けいた,hirano_keita@example.com,男,25,1994/12/1,既婚,O型,宮城県,051-255-5352,080-4168-3058,ソフトバンク,左ルー・せき止め派
高瀬 宏,たかせ ひろし,takase_hiroshi@example.com,男,41,1978/4/24,既婚,O型,埼玉県,018-389-4542,090-6771-9374,au,左ルー・混ぜ混ぜ派
西沢 那奈,にしざわ なな,nishizawa_nana@example.com,女,29,1990/3/20,既婚,O型,北海道,068-925-2522,080-6427-4712,au,別盛り・ナン派
近藤 明慶,こんどう あきよし,konndou_akiyoshi@example.com,男,64,1955/12/29,既婚,B型,京都府,089-157-1421,090-9773-3711,ソフトバンク,奥ルー・ルー攻め派
黒谷 薫,くろたに かおる,kurotani_kaoru@example.com,男,38,1981/3/31,既婚,A型,愛知県,018-226-6515,090-9301-8915,ソフトバンク,奥ルー・ルー攻め派
牧田 智花,まきた ともか,makita_tomoka@example.com,女,23,1997/2/5,未婚,O型,石川県,094-388-1783,080-7968-7843,ソフトバンク,ぶっかけ・せき止め派
宮下 俊二,みやした しゅんじ,miyashita_shunji@example.com,男,28,1992/1/22,既婚,O型,富山県,028-582-8971,080-1813-3138,au,奥ルー・別口派
近藤 真悠子,こんどう まゆこ,kondou_mayuko@example.com,女,69,1950/12/6,既婚,O型,神奈川県,031-456-6290,090-2454-7932,ソフトバンク,奥ルー・別口派
堀川 誠一,ほりかわ せいいち,horikawa_seiichi@example.com,男,21,1998/7/6,既婚,A型,千葉県,0 3-549-4307,080-8670-1434,ドコモ,右ルー・せき止め派
加藤 宏,かとう ひろし,katou_hiroshi@example.com,男,76,1943/10/22,既婚,A型,岐阜県,023-801-5462,090-6911-4447,ドコモ,ぶっかけ・ルー攻め派
大坪 充則,おおつぼ みつのり,ootsubo_mitsunori@example.com,男,24,1995/10/16,既婚,B型,京都府,034-702-3452,080-1393- 967,au,ぶっかけ・混ぜ混ぜ派
樋口 勇一,ひぐち ゆういち,higuchi_yuuichi@example.com,男,67,1952/6/12,既婚,B型,埼玉県,049-526-4388,080-2617-7680,ドコモ,ぶっかけ・せき止め派
内山 一徳,うちやま いっとく,uchiyama_ittoku@example.com,男,72,1947/6/15,既婚,AB型,福島県,086-179-4956,080-4038-6417,ドコモ,ぶっかけ・ルー攻め派
ほしの 美希,ほしの みき,hoshino_miki@example.com,女,42,1977/7/15,既婚,AB型,北海道,063-544-3988,080-5953-9947,au,左ルー・別口派
金児 哲平,かねこ てっぺい,kaneko_teppei@example.com,男,21,1998/9/10,未婚,O型,東京都,078-914- 364,090-9112-9662,ドコモ,右ルー・せき止め派
朝倉 未來,あさくら みらい,asakura_mirai@example.com,女,56,1963/11/25,既婚,A型,静岡県,086-209-5928,090-2679-6344,au,手前ルー・ナン派
小野田 徹,おのだ とおる,onoda_tooru@example.com,男,31,1988/6/13,既婚,O型,千葉県,099-765-5082,090-8178-3910,au,奥ルー・せき止め派
小田 友以乃,おだ ゆいの,oda_yuino@example.com,女,74,1945/6/19,既婚,A型,大阪府,067-974-4676,090-8082-9522,ドコモ,奥ルー・せき止め派
半田 鉄洋,はんだ てつひろ,hannda_tetsuhiro@example.com,男,75,1944/8/1,既婚,A型,東京都,023-240-8858,080-3881-4939,ドコモ,別盛り・ルー攻め派
八木 慢太郎,やぎ まんたろう,yagi_mantarou@example.com,男,50,1969/10/21,既婚,O型,福井県,0 7- 98- 952,090-5891- 278,ドコモ,左ルー・ルー攻め派
河内 克実,かわうち かつみ,kawauchi_katsumi@example.com,男,58,1961/10/4,既婚,O型,広島県,088-198-8779,090-6832-4564,ドコモ,左ルー・混ぜ混ぜ派
小林 サンタマリア,こばやし さんたまりあ,kobayashi_stmaria@example.com,男,26,1993/6/11,未婚,O型,新潟県,067-725-8303,080- 176-2160,au,左ルー・せき止め派
滝 瞳,たき ひとみ,taki_hitomi@example.com,女,60,1959/6/20,既婚,O型,岡山県,085-   -3356,090-8285-1239,ドコモ,奥ルー・ルー攻め派
吉井 賢二,よしい けんじ,yoshii_kenji@example.com,男,53,1966/12/29,既婚,B型,京都府,065-212-4487,090- 617-8484,ソフトバンク,右ルー・別口派
落合 しぼり,おちあい しぼり,ochiai_shibori@example.com,女,68,1951/7/22,既婚,O型,東京都,037-  7-8317,080-5447-9841,ドコモ,ぶっかけ・せき止め派
大谷 フミヤ,おおたに ふみや,ootani_fumiya@example.com,男,39,1981/2/3,既婚,A型,宮城県,060-388-9854,090-5067-1008,ソフトバンク,ぶっかけ・混ぜ混ぜ派
宇都宮 明慶,うつのみや あきよし,utsunomiya_akiyoshi@example.com,男,34,1985/12/31,既婚,B型,熊本県,084-291-7591,090-8452-2684,ドコモ,右ルー・ルー攻め派
安井 莉緒,やすい りお,yasui_rio@example.com,女,54,1965/2/16,既婚,O型,静岡県,080-613-9840,090-8935-6614,ドコモ,ぶっかけ・せき止め派
塚本 菜摘,つかもと なつみ,tsukamoto_natsumi@example.com,女,74,1945/11/4,既婚,O型,大阪府,072-  3-5875,080-9335-3500,ドコモ,奥ルー・せき止め派
米沢 由美子,よねざわ ゆみこ,yonezawa_yumiko@example.com,女,75,1944/7/24,既婚,AB型,広島県,026-597-1104,080-8140-1576,au,左ルー・混ぜ混ぜ派
梅原 翔子,うめはら しょうこ,umehara_shouko@example.com,女,41,1978/6/21,既婚,A型,神奈川県,033-438-7641,080-7132-7417,au,ぶっかけ・ルー攻め派
今井 雅彦,いまい まさひこ,imai_masahiko@example.com,男,74,1945/9/3,既婚,O型,千葉県,095-471-3641,080-7732-7119,ドコモ,左ルー・ナン派
村田 光臣,むらた みつおみ,murata_mitsuomi@example.com,男,28,1991/12/18,既婚,O型,埼玉県,099-640-5976,080-7016-  62,au,ぶっかけ・せき止め派
平尾 裕司,ひらお ゆうじ,hirao_yuuji@example.com,男,75,1944/3/4,既婚,A型,愛知県,066-389-7109,080-3064-9659,ドコモ,左ルー・混ぜ混ぜ派
浜野 寛治,はまの かんじ,hamano_kanji@example.com,男,78,1941/6/28,既婚,AB型,長崎県,052- 11-3384,080-9203-8650,ドコモ,ぶっかけ・ルー攻め派
