名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
大塚 哲平,おおつか てっぺい,ootsuka_teppei@example.com,男,52,1967/12/28,既婚,O型,広島県,084-929-6891,080-1668-2074,ドコモ,ぶっかけ・別口派
菅野 恵梨香,かんの えりか,kanno_erika@example.com,女,32,1988/1/15,既婚,A型,茨城県,052-419-6767,080-9887-4216,ドコモ,左ルー・ルー攻め派
中村 華子,なかむら はなこ,nakamura_hanako@example.com,女,16,2003/8/1,未婚,B型,大阪府,020-949-5763,080- 789-7020,ドコモ,奥ルー・別口派
大下 雅之,おおした まさゆき,ooshita_masayuki@example.com,男,81,1938/9/6,既婚,AB型,北海道,054-907- 156,090-3220- 462,ドコモ,奥ルー・別口派
落合 ひろ子,おちあい ひろこ,ochiai_hiroko@example.com,女,70,1949/6/25,既婚,B型,高知県,055-145-2311,090-5372-4091,ドコモ,左ルー・混ぜ混ぜ派
倉田 遥,くらた はるか,kurata_haruka@example.com,女,78,1941/6/28,既婚,A型,千葉県,072-868- 589,080-5033-3255,ソフトバンク,ぶっかけ・混ぜ混ぜ派
村上 竜也,むらかみ たつや,murakami_tatsuya@example.com,男,52,1968/2/13,既婚,B型,京都府,039-415-5365,090- 714- 552,au,左ルー・せき止め派
森岡 利夫,もりおか としお,morioka_toshio@example.com,男,78,1941/10/1,既婚,A型,愛知県,0 5-421-6571,090-9501-5605,ドコモ,左ルー・別口派
土谷 憲史,つちや のりひと,tsuchiya_norihito@example.com,男,55,1964/6/27,既婚,O型,埼玉県,072-905-6196,080-9100-1255,ドコモ,左ルー・せき止め派
守屋 一代,もりや かずよ,moriya_kazuyo@example.com,女,45,1974/11/8,既婚,A型,静岡県,048-199-4106,080-8155-3594,au,奥ルー・混ぜ混ぜ派
大江 豊,おおえ ゆたか,ooe_yutaka@example.com,男,35,1985/1/8,既婚,O型,栃木県,099-335-6825,080-5740-4858,au,奥ルー・ルー攻め派
瀬尾 聡,せお さとし,seo_satoshi@example.com,男,22,1998/2/8,未婚,B型,千葉県,044-771-3955,080-2884-2845,au,左ルー・せき止め派
山野 聡,やまの さとし,yamano_satoshi@example.com,男,34,1985/12/11,既婚,A型,埼玉県,054-567-8402,080-6411-2137,ドコモ,手前ルー・せき止め派
梶原 建,かじわら けん,kajiwara_ken@example.com,男,11,2008/3/26,未婚,AB型,岡山県,015- 41-3856,090-8178-1724,au,左ルー・別口派
前田 隆太,まえだ りゅうた,maeda_ryuuta@example.com,男,45,1974/10/16,既婚,O型,大阪府,071-959-2313,090-6243- 467,au,手前ルー・せき止め派
中園 景子,なかぞの けいこ,nakazono_keiko@example.com,女,38,1981/7/6,既婚,O型,兵庫県,0 3-515-1463,080-1269-1578,ソフトバンク,ぶっかけ・別口派
梅本 昴,うめもと すばる,umemoto_subaru@example.com,男,53,1966/5/29,既婚,B型,千葉県,081-102-9983,090-9581-9942,ドコモ,左ルー・混ぜ混ぜ派
秋元 淳,あきもと あつし,akimoto_atsushi@example.com,男,30,1989/6/10,既婚,B型,岡山県,034-794-2379,080-5160-3209,ドコモ,左ルー・混ぜ混ぜ派
多田 優,ただ ゆう,tada_yuu@example.com,女,78,1941/8/31,既婚,O型,広島県,072-800-4690,090-1764-5031,ソフトバンク,手前ルー・ルー攻め派
今村 一哉,いまむら かずや,imamura_kazuya@example.com,男,71,1948/10/28,既婚,AB型,徳島県,022- 23-1899,090- 844-1700,ドコモ,ぶっかけ・ナン派
坂口 徹平,さかぐち てっぺい,sakaguchi_teppei@example.com,男,57,1962/6/29,既婚,O型,宮城県,063-832-2890,090- 679-1008,ドコモ,ぶっかけ・せき止め派
大浦 功補,おおうら こうすけ,ooura_kousuke@example.com,男,53,1966/8/19,既婚,A型,沖縄県,031- 85-8432,080-1076-6929,au,ぶっかけ・別口派
米山 美紀,よねやま みき,yoneyama_miki@example.com,女,66,1953/10/20,既婚,A型,岡山県,0 3-766-5886,090- 740-2893,ソフトバンク,左ルー・せき止め派
植田 倫子,うえた のりこ,ueta_noriko@example.com,女,39,1980/9/1,既婚,O型,鹿児島県,069-504-1489,080- 521-1377,au,右ルー・別口派
金子 小百合,かねこ さゆり,kaneko_sayuri@example.com,女,28,1991/3/5,既婚,A型,福岡県,056-433-8158,090-6591-8229,ドコモ,手前ルー・せき止め派
小堀 さとみ,こほり さとみ,kohori_satomi@example.com,女,21,1999/1/20,既婚,O型,大阪府,099-833-9604,090-1693-4423,au,ぶっかけ・別口派
藤井 茜,ふじい あかね,fujii_akane@example.com,女,61,1958/9/19,既婚,AB型,山口県,080-936-9309,080-1086-1838,ドコモ,左ルー・別口派
落合 彩華,おちあい あやか,ochiai_ayaka@example.com,女,77,1942/5/18,既婚,B型,東京都,0 6-159-4638,080-3677-2372,au,左ルー・別口派
内藤 ひろ子,ないとう ひろこ,naitou_hiroko@example.com,女,41,1978/6/29,既婚,O型,島根県,034-909-5678,080-9535-7645,ソフトバンク,ぶっかけ・混ぜ混ぜ派
山城 功補,やましろ こうすけ,yamashiro_kousuke@example.com,男,35,1984/6/11,未婚,B型,北海道,080-272-6758,080-8551-5488,ドコモ,左ルー・ルー攻め派
水嶋 はるか,みずしま はるか,mizushima_haruka@example.com,女,26,1993/4/15,未婚,A型,宮城県,082-975-4480,080-2337-7743,ドコモ,手前ルー・せき止め派
真田 大五郎,さなだ だいごろう,sanada_daigorou@example.com,男,85,1934/11/18,既婚,O型,秋田県,038-784-1385,090-5787-4945,ドコモ,ぶっかけ・別口派
千田 隼士,せんだ しゅんじ,sennda_shunji@example.com,男,84,1936/2/11,既婚,AB型,福島県,024-213-9295,090-1001-9960,ドコモ,手前ルー・混ぜ混ぜ派
西田 大樹,にしだ ひろき,nishida_hiroki@example.com,男,40,1979/12/1,既婚,O型,京都府,069-254-4779,080-7659-1282,ドコモ,右ルー・ルー攻め派
ほしの 麻由子,ほしの まゆこ,hoshino_mayuko@example.com,女,22,1997/6/7,未婚,A型,愛知県,061-545-4852,090-5083-2673,au,左ルー・ルー攻め派
梅津 あや子,うめづ あやこ,umedu_ayako@example.com,女,43,1976/5/10,既婚,A型,福岡県,082-264-3834,090-6134-7552,ソフトバンク,右ルー・ルー攻め派
神野 勇介,かみの ゆうすけ,kamino_yuusuke@example.com,男,51,1969/1/12,既婚,AB型,山形県,032-768-9645,080-5315-2421,au,奥ルー・混ぜ混ぜ派
高木 聖陽,たかぎ まさあき,takagi_masaaki@example.com,男,30,1989/11/27,既婚,O型,石川県,066-942-4884,090-8263-9248,ドコモ,左ルー・別口派
富田 窈,とみた よう,tomita_you@example.com,女,12,2007/6/12,未婚,O型,東京都,011-826-5328,080-6141-6581,au,左ルー・せき止め派
藤村 高史,ふじむら たかし,fujimura_takashi@example.com,男,74,1945/6/6,既婚,A型,京都府,034-158-1292,080-1752-4974,au,右ルー・混ぜ混ぜ派
富山 真希,とみやま まき,tomiyama_maki@example.com,女,85,1934/10/4,既婚,O型,長野県,043-810-9890,080-7279-6305,ドコモ,手前ルー・別口派
奥田 竜也,おくだ たつや,okuda_tatsuya@example.com,男,25,1994/2/17,既婚,O型,栃木県,023-276-3730,090-2702-6669,ソフトバンク,ぶっかけ・ルー攻め派
東 真希,ひがし まき,higashi_maki@example.com,女,10,2009/9/20,未婚,O型,岡山県,076-686-8849,080-7518-7924,ドコモ,左ルー・せき止め派
平林 詩織,ひらばやし しおり,hirabayashi_shiori@example.com,女,72,1947/7/24,既婚,AB型,東京都,084-354-5108,090-3637-2860,ドコモ,左ルー・ルー攻め派
川原 敏和,かわはら としかず,kawahara_toshikazu@example.com,男,31,1989/1/17,既婚,B型,岐阜県,096-220-2339,090-5570-2172,ソフトバンク,左ルー・ルー攻め派
石原 希,いしはら のぞみ,ishihara_nozomi@example.com,女,84,1935/6/4,既婚,A型,福岡県,088-512-6499,080-3461-9813,ドコモ,右ルー・混ぜ混ぜ派
大坂 敏和,おおさか としかず,oosaka_toshikazu@example.com,男,40,1979/12/3,未婚,B型,茨城県,060-595-6770,080-5524-6313,ドコモ,左ルー・別口派
中西 みき,なかにし みき,nakanishi_miki@example.com,女,81,1938/8/1,既婚,O型,秋田県,0  -827-1174,080-1610-1063,au,左ルー・せき止め派
岩間 弘也,いわま ひろなり,iwama_hironari@example.com,男,61,1958/8/19,既婚,O型,福岡県,0 2-540-4353,090-2013-7991,ドコモ,ぶっかけ・混ぜ混ぜ派
岡本 精児,おかもと せいじ,okamoto_seiji@example.com,男,71,1948/10/24,既婚,A型,鹿児島県,024-555-8941,090- 630-6584,ドコモ,奥ルー・せき止め派
小野 広之,おの ひろゆき,ono_hiroyuki@example.com,男,72,1947/8/3,既婚,A型,神奈川県,030-435-4045,090-9307-6755,ドコモ,ぶっかけ・せき止め派
大田 ジローラモ,おおた じろーらも,oota_girolamo@example.com,男,84,1935/12/22,既婚,O型,茨城県,050-533-6430,080-1835-2546,au,左ルー・ルー攻め派
正木 倫子,まさき のりこ,masaki_noriko@example.com,女,65,1954/5/9,既婚,A型,東京都,019-443-2485,080-4493-2975,au,ぶっかけ・せき止め派
羽田 努,はた つとむ,hata_tsutomu@example.com,男,35,1984/10/13,既婚,A型,大阪府,018-455-4907,090-6509-2124,ドコモ,右ルー・別口派
畠山 扶樹,はたやま もとき,hatayama_motoki@example.com,男,20,1999/11/16,既婚,A型,京都府,079-798-1786,080-8699-2624,ドコモ,ぶっかけ・混ぜ混ぜ派
沼田 華子,ぬまた はなこ,numata_hanako@example.com,女,46,1974/1/2,既婚,B型,東京都,043-712-1234,080-2857-7154,au,左ルー・ルー攻め派
紺野 秀樹,こんの ひでき,konno_hideki@example.com,男,34,1985/12/16,既婚,A型,滋賀県,021- 91-3689,090-4462-4209,au,手前ルー・せき止め派
下川 陽子,しもかわ ようこ,shimokawa_youko@example.com,女,23,1996/5/17,既婚,A型,長崎県,037-405-5630,090-1282-8611,ツーカー,手前ルー・ルー攻め派
堀内 メイサ,ほりうち めいさ,horiuchi_meisa@example.com,女,32,1987/4/4,既婚,O型,三重県,062-677-9105,080-2333-4474,ソフトバンク,右ルー・ルー攻め派
大石 春樹,おおいし はるき,ooishi_haruki@example.com,女,12,2007/9/3,未婚,A型,福岡県,0 8-346- 611,080-4085-9135,ドコモ,左ルー・せき止め派
楠 未來,くすのき みらい,kusunoki_mirai@example.com,女,21,1998/12/19,未婚,B型,千葉県,060- 20- 593,090-5745- 491,au,左ルー・ルー攻め派
杉山 恵梨香,すぎやま えりか,sugiyama_erika@example.com,女,22,1997/3/16,未婚,O型,神奈川県,080-209-7949,090-6917-3921,ツーカー,ぶっかけ・混ぜ混ぜ派
藤岡 しほり,ふじおか しほり,fujioka_shihori@example.com,女,27,1992/8/31,既婚,AB型,愛知県,071- 59-6579,080-2996-7013,ドコモ,別盛り・ルー攻め派
椎名 照生,しいな てるお,shiina_teruo@example.com,男,38,1981/12/16,既婚,B型,徳島県,013-397-7757,090-8353-6274,au,手前ルー・ルー攻め派
奥貫 美優,おくぬき みゅう,okunuki_myuu@example.com,女,85,1934/9/21,既婚,AB型,福岡県,0 5-386-5135,080- 124-2748,ソフトバンク,左ルー・ナン派
鹿賀 長利,かが ながとし,kaga_nagatoshi@example.com,男,64,1955/4/3,既婚,A型,千葉県,034-778-5600,080-5671-5073,ドコモ,左ルー・ルー攻め派
真田 貴嶺,さなだ たかね,sanada_takane@example.com,男,57,1962/6/9,既婚,B型,兵庫県,076-255-1873,090-7481-3529,au,ぶっかけ・別口派
大路 真帆,おおじ まほ,ooji_maho@example.com,女,23,1996/5/10,未婚,A型,愛知県,053-272-4035,090-4725-4754,ドコモ,左ルー・せき止め派
竹田 昌代,たけだ まさよ,takeda_masayo@example.com,女,50,1970/1/10,既婚,A型,兵庫県,069-180-6837,080-2978-7397,ドコモ,ぶっかけ・混ぜ混ぜ派
山根 愛子,やまね あいこ,yamane_aiko@example.com,女,26,1993/9/21,未婚,O型,大分県,076-666-9049,090-5015-4460,ドコモ,右ルー・ルー攻め派
徳永 未來,とくなが みらい,tokunaga_mirai@example.com,男,75,1944/4/27,既婚,A型,宮城県,084-900-6331,090-8890-8999,ドコモ,ぶっかけ・ルー攻め派
狩野 彩華,かの あやか,kano_ayaka@example.com,女,76,1943/5/23,既婚,O型,千葉県,069-636-2411,080-2828-3815,au,右ルー・せき止め派
岩田 新太,いわた あらた,iwata_arata@example.com,男,35,1984/5/2,未婚,A型,佐賀県,0 8-217- 945,090-3676-5309,au,左ルー・ナン派
塩沢 恵子,しおざわ けいこ,shiozawa_keiko@example.com,女,14,2005/4/18,未婚,A型,福岡県,091-537-  50,090-5256-2485,au,左ルー・ルー攻め派
末永 英嗣,すえなが ひでつぐ,suenaga_hidetsugu@example.com,男,70,1949/6/18,既婚,B型,徳島県,096-840- 471,090-6233-1823,ソフトバンク,奥ルー・混ぜ混ぜ派
乾 朝香,いぬい あさか,inui_asaka@example.com,女,85,1934/6/10,既婚,A型,神奈川県,086-261-  25,090-8226-4927,ソフトバンク,ぶっかけ・せき止め派
梅本 愛菜,うめもと あいな,umemoto_aina@example.com,女,81,1938/3/22,既婚,AB型,京都府,045-169-9801,080-5482-6989,au,別盛り・混ぜ混ぜ派
吉岡 誠一,よしおか せいいち,yoshioka_seiichi@example.com,男,69,1950/12/3,既婚,B型,熊本県,066-246-1112,090-7539-3933,au,左ルー・せき止め派
芦屋 勇介,あしや ゆうすけ,ashiya_yuusuke@example.com,男,20,1999/6/28,未婚,A型,東京都,063-165-7612,090-7053-3126,au,ぶっかけ・ルー攻め派
水谷 隆太,みずたに りゅうた,mizutani_ryuuta@example.com,男,51,1968/4/20,未婚,A型,千葉県,098-913-9457,090-3727-1946,au,ぶっかけ・ルー攻め派
青柳 英嗣,あおやぎ ひでつぐ,aoyagi_hidetsugu@example.com,男,77,1943/1/31,既婚,O型,滋賀県,056-196-1994,080-7074-4165,ドコモ,左ルー・ルー攻め派
鹿賀 まさみ,かが まさみ,kaga_masami@example.com,女,78,1941/10/27,既婚,O型,愛知県,053-661-2423,080-4009-6523,ソフトバンク,ぶっかけ・混ぜ混ぜ派
高村 豊,たかむら ゆたか,takamura_yutaka@example.com,男,35,1984/11/28,未婚,A型,長野県,085-931-3229,080-5923-9006,ソフトバンク,左ルー・ルー攻め派
沖田 美和子,おきた みわこ,okita_miwako@example.com,女,83,1936/5/21,既婚,O型,群馬県,0  -618-4278,090-1956-7695,au,手前ルー・せき止め派
瀬川 早紀,せがわ さき,segawa_saki@example.com,女,18,2001/4/20,未婚,AB型,三重県,024-100-6711,080-6610-9386,ドコモ,左ルー・せき止め派
山内 浩太郎,やまのうち こうたろう,yamanouchi_koutarou@example.com,男,60,1959/10/27,既婚,A型,長野県,011-600-8826,090-4393-4729,ソフトバンク,左ルー・別口派
柳沢 賢治,やなぎさわ けんじ,yanagisawa_kenji@example.com,男,13,2007/1/31,未婚,A型,茨城県,011-698-3435,090-4499-8781,ドコモ,左ルー・ルー攻め派
田代 隼士,たしろ しゅんじ,tashiro_shunji@example.com,男,53,1966/3/19,既婚,B型,愛知県,088-  9-9528,090-4232-3044,ドコモ,左ルー・せき止め派
石黒 夏空,いしぐろ そら,ishiguro_sora@example.com,女,61,1959/1/22,既婚,O型,石川県,031-542- 889,090-2069-1303,ドコモ,ぶっかけ・せき止め派
木本 弘也,きもと ひろなり,kimoto_hironari@example.com,男,60,1959/10/20,既婚,AB型,埼玉県,088-219-2661,080-2578-5908,au,手前ルー・せき止め派
鶴岡 真一,つるおか しんいち,tsuruoka_shinichi@example.com,男,53,1966/12/14,既婚,A型,大阪府,015-464-8138,090-6064-3665,au,手前ルー・ルー攻め派
長澤 恵麻,ながさわ えま,nagasawa_ema@example.com,女,33,1987/2/14,既婚,B型,山口県,015-312-1742,090-3141-2046,au,左ルー・せき止め派
田原 あや子,たはら あやこ,tahara_ayako@example.com,女,21,1998/10/27,既婚,A型,東京都,062-432-9309,080-1878-1917,ドコモ,手前ルー・ルー攻め派
片岡 未來,かたおか みらい,kataoka_mirai@example.com,男,84,1935/8/16,既婚,A型,埼玉県,028-602-9072,080-6646-6858,ドコモ,ぶっかけ・せき止め派
長沢 景子,ながさわ けいこ,nagasawa_keiko@example.com,女,83,1936/10/8,既婚,B型,千葉県,022-393-2406,080- 229-9497,ドコモ,左ルー・せき止め派
大泉 鉄二,おおいずみ てつじ,ooizumi_tetsuji@example.com,男,50,1969/10/24,既婚,O型,埼玉県,083-884- 712,090-5661-9513,au,手前ルー・ルー攻め派
永井 なつみ,ながい なつみ,nagai_natsumi@example.com,女,36,1983/12/25,既婚,A型,神奈川県,025-  4-9870,090-3965-9058,ドコモ,ぶっかけ・せき止め派
野村 優,のむら ゆう,nomura_yuu@example.com,女,19,2001/1/14,既婚,A型,奈良県,010-316-4745,080-7307-9381,ドコモ,ぶっかけ・ルー攻め派
竹中 愛梨,たけなか あいり,takenaka_airi@example.com,女,22,1997/11/7,未婚,A型,東京都,019-670-6363,090-7049-1946,ソフトバンク,ぶっかけ・別口派
松原 陽子,まつばら ようこ,matsubara_youko@example.com,女,40,1979/5/3,既婚,AB型,岡山県,069-988-8952,090-8856-9881,ドコモ,左ルー・混ぜ混ぜ派
高田 朝香,たかだ あさか,takada_asaka@example.com,女,64,1955/7/21,既婚,B型,山梨県,0 8-206-9689,080-1981-8281,au,奥ルー・ルー攻め派
長野 未來,ながの みらい,nagano_mirai@example.com,男,76,1943/8/20,既婚,O型,長野県,052-684-8631,090-4409-2675,ドコモ,奥ルー・ルー攻め派
久野 美優,ひさの みゅう,hisano_myuu@example.com,女,70,1949/3/9,既婚,O型,北海道,014-737-8051,080-6678-7438,ドコモ,別盛り・せき止め派
松井 光臣,まつい みつおみ,matsui_mitsuomi@example.com,男,27,1992/7/9,未婚,A型,埼玉県,064-461-7493,080-6023- 794,ソフトバンク,右ルー・別口派
生瀬 倫子,なませ のりこ,namase_noriko@example.com,女,58,1961/10/28,既婚,A型,静岡県,074-758- 957,080-5035-1824,au,右ルー・せき止め派
杉浦 光,すぎうら ひかる,sugiura_hikaru@example.com,男,54,1965/3/12,既婚,A型,東京都,030-757- 294,080-3116-7238,ドコモ,左ルー・別口派
岸 早織,きし さおり,kishi_saori@example.com,女,19,2000/12/10,未婚,B型,東京都,093-917-2164,090-2937-1004,au,ぶっかけ・せき止め派
河野 綾女,かわの あやめ,kawano_ayame@example.com,女,64,1955/7/22,未婚,AB型,石川県,011-547-3388,080-1379-4955,au,奥ルー・ルー攻め派
北島 明日,きたじま めいび,kitajima_meibi@example.com,女,78,1941/6/24,既婚,A型,香川県,060-528-7058,090-3358-1833,au,右ルー・混ぜ混ぜ派
板垣 愛梨,いたがき あいり,itagaki_airi@example.com,女,21,1998/12/4,未婚,A型,新潟県,010-483-3104,090-9662- 371,ドコモ,ぶっかけ・ルー攻め派
小菅 真希,こすげ まき,kosuge_maki@example.com,女,84,1936/1/30,既婚,B型,香川県,0 2-509-8009,080- 772-8025,ソフトバンク,右ルー・ルー攻め派
三木 彩,みき あや,miki_aya@example.com,女,32,1987/12/7,既婚,A型,神奈川県,069- 75-5795,080-1450-5970,au,左ルー・せき止め派
岩沢 れいな,いわさわ れいな,iwasawa_reina@example.com,女,49,1970/6/28,既婚,O型,兵庫県,0 1-441-9514,080-1712-1939,ドコモ,ぶっかけ・ルー攻め派
浅見 あさみ,あさみ あさみ,asami_asami@example.com,女,15,2004/7/18,未婚,O型,北海道,0 8-853-2185,090-8332-2779,ドコモ,左ルー・せき止め派
柳川 智花,やながわ ともか,yanagawa_tomoka@example.com,女,47,1972/12/29,既婚,A型,秋田県,047-503-3535,090-7071-8937,ドコモ,左ルー・別口派
馬場 小百合,ばば さゆり,baba_sayuri@example.com,女,52,1968/1/9,既婚,B型,愛知県,054-172-1724,090- 102- 633,ドコモ,手前ルー・別口派
阿部 真一,あべ しんいち,abe_shinichi@example.com,男,42,1977/6/2,既婚,O型,沖縄県,0 3-364-9679,080-5391-6967,ドコモ,右ルー・ルー攻め派
橘 メイサ,たちばな めいさ,tachibana_meisa@example.com,女,13,2006/7/28,未婚,O型,岐阜県,096-458-1103,080-3343-1596,ソフトバンク,左ルー・別口派
小関 仁,こぜき じん,kozeki_jin@example.com,男,30,1989/8/26,既婚,A型,宮城県,075-376-5493,080-7393-9337,ドコモ,ぶっかけ・ナン派
藤山 ひとみ,ふじやま ひとみ,fujiyama_hitomi@example.com,女,81,1938/10/5,既婚,A型,兵庫県,068-431-7829,090-7487-1938,ドコモ,右ルー・混ぜ混ぜ派
横田 一輝,よこた かずき,yokota_kazuki@example.com,男,70,1949/3/7,既婚,O型,愛知県,076-607-7668,090-9366-9045,ソフトバンク,ぶっかけ・せき止め派
滝沢 ヒロ,たきざわ ひろ,takizawa_hiro@example.com,男,43,1976/11/4,既婚,O型,千葉県,039-628-3619,090-1431-9460,ドコモ,ぶっかけ・ルー攻め派
小松 花,こまつ はな,komatsu_hana@example.com,女,48,1971/12/30,既婚,A型,東京都,091-541-3840,090-2820-6335,au,右ルー・ルー攻め派
杉原 豊,すぎはら ゆたか,sugihara_yutaka@example.com,男,69,1950/7/6,既婚,A型,東京都,076- 99-1979,080-5316-5615,ドコモ,ぶっかけ・混ぜ混ぜ派
荒井 京子,あらい きょうこ,arai_kyouko@example.com,女,72,1947/7/29,既婚,O型,富山県,053-564-6048,090-8843-8981,ソフトバンク,ぶっかけ・せき止め派
田上 怜奈,たうえ れいな,taue_reina@example.com,女,83,1937/2/10,既婚,B型,茨城県,011-390-3141,090-8030-6082,au,左ルー・ルー攻め派
宮本 寿明,みやもと としあき,miyamoto_toshiaki@example.com,男,52,1967/10/12,既婚,O型,大阪府,073-700-7215,090-8679- 806,ドコモ,別盛り・別口派
大森 京子,おおもり きょうこ,oomori_kyouko@example.com,女,11,2008/5/5,未婚,A型,大阪府,071-899-3770,090-7747-2813,au,奥ルー・せき止め派
小山 和久,おやま かずひさ,oyama_kazuhisa@example.com,男,67,1952/4/23,既婚,B型,徳島県,063-781- 900,080-2335-1325,ドコモ,ぶっかけ・せき止め派
浜野 翔太,はまの しょうた,hamano_shouta@example.com,男,40,1979/3/11,未婚,O型,埼玉県,040-688-9903,080-4364-6549,ドコモ,左ルー・混ぜ混ぜ派
岸 なぎさ,きし なぎさ,kishi_nagisa@example.com,女,37,1982/5/4,既婚,O型,秋田県,0 9-346-4771,090-1865-3465,ツーカー,奥ルー・ナン派
片桐 満,かたぎり みつる,katagiri_mitsuru@example.com,男,59,1960/4/17,既婚,O型,山口県,092-217- 517,080-8682-3306,ドコモ,奥ルー・混ぜ混ぜ派
中原 美佳,なかはら みか,nakahara_mika@example.com,女,52,1967/3/24,既婚,B型,秋田県,081-241-5727,080-4713-7028,ソフトバンク,手前ルー・別口派
相武 砂羽,あいぶ さわ,aibu_sawa@example.com,女,56,1963/8/29,既婚,A型,佐賀県,087-665-5356,090-7409-5136,ソフトバンク,右ルー・ルー攻め派
竹中 洋介,たけなか ようすけ,takenaka_yousuke@example.com,男,38,1981/7/25,既婚,A型,兵庫県,0 2- 57-2743,080-4724-5985,au,別盛り・混ぜ混ぜ派
金子 菜摘,かねこ なつみ,kaneko_natsumi@example.com,女,39,1980/5/18,既婚,O型,神奈川県,087-884-8350,090-8339-5973,ソフトバンク,左ルー・別口派
河野 みき,こうの みき,kouno_miki@example.com,女,69,1950/11/15,既婚,O型,滋賀県,037-939-9494,080-4678-8906,ソフトバンク,右ルー・せき止め派
関根 麻由子,せきね まゆこ,sekine_mayuko@example.com,女,81,1939/1/9,既婚,B型,大分県,048-177-2309,090-4640-9642,au,奥ルー・別口派
川畑 賢二,かわはた けんじ,kawahata_kenji@example.com,男,54,1965/10/11,既婚,O型,東京都,067-988-5086,080-9149-1214,ドコモ,ぶっかけ・別口派
高原 希,たかはら のぞみ,takahara_nozomi@example.com,女,74,1945/12/3,既婚,A型,神奈川県,049-852-3623,090-9949-5991,au,ぶっかけ・せき止め派
木戸 さとみ,きど さとみ,kido_satomi@example.com,女,32,1987/11/8,既婚,B型,埼玉県,0 5- 25-3216,080-6345-6821,au,奥ルー・ナン派
赤松 メイサ,あかまつ めいさ,akamatsu_meisa@example.com,女,63,1956/7/14,既婚,AB型,山口県,012-812-4256,090-1398-6476,ドコモ,奥ルー・ルー攻め派
細野 サンタマリア,ほその さんたまりあ,hosono_stmaria@example.com,男,73,1947/1/13,既婚,O型,山形県,013-572- 229,080-4982-4740,ソフトバンク,奥ルー・せき止め派
藤沢 怜奈,ふじさわ れいな,fujisawa_reina@example.com,女,43,1977/1/30,既婚,A型,神奈川県,099-788-9401,080-7648-3935,ソフトバンク,別盛り・せき止め派
志賀 淳子,しが あつこ,shiga_atsuko@example.com,女,63,1956/5/6,既婚,O型,長野県,072-737-6534,090-9087-4397,ドコモ,奥ルー・混ぜ混ぜ派
林田 翔子,はやしだ しょうこ,hayashida_shouko@example.com,女,15,2004/5/21,未婚,O型,神奈川県,027-534-5808,080-8665-2527,ドコモ,別盛り・ルー攻め派
大和 一輝,やまと かずき,yamato_kazuki@example.com,男,30,1989/11/18,未婚,O型,神奈川県,045-992-7723,080-6847-3408,au,右ルー・せき止め派
葛山 かおり,かつらやま かおり,katsurayama_kaori@example.com,女,30,1989/5/10,既婚,O型,千葉県,035-667-4928,080-9568-9546,ドコモ,左ルー・せき止め派
沢田 千夏,さわだ ちなつ,sawada_chinatsu@example.com,女,68,1951/10/25,既婚,AB型,神奈川県,071-450-7730,090- 308-9585,au,ぶっかけ・ルー攻め派
水谷 三郎,みずたに さぶろう,mizutani_saburou@example.com,男,20,1999/8/1,未婚,O型,神奈川県,015- 51-9992,090-1250-5056,ドコモ,別盛り・ルー攻め派
金城 咲,かなしろ さき,kanashiro_saki@example.com,女,37,1983/1/18,既婚,AB型,兵庫県,031-423-2321,080-4939-1059,ドコモ,右ルー・ナン派
伊沢 美智子,いざわ みちこ,izawa_michiko@example.com,女,22,1997/9/1,未婚,B型,大阪府,068-825-2107,090-2512-9119,ソフトバンク,左ルー・せき止め派
大坪 大樹,おおつぼ ひろき,ootsubo_hiroki@example.com,男,30,1989/12/24,既婚,A型,島根県,080-993-5655,090-7368-3049,ドコモ,左ルー・別口派
本上 美嘉,ほんじょう みか,honjo_mika@example.com,女,18,2001/3/29,未婚,A型,愛知県,063-238-5237,080-1968-3559,ソフトバンク,右ルー・せき止め派
堀川 祐一,ほりかわ ゆういち,horikawa_yuuichi@example.com,男,85,1934/4/26,既婚,O型,栃木県,043-508- 155,080-9546-2896,ドコモ,左ルー・ナン派
品川 友香,しながわ ともか,shinagawa_tomoka@example.com,女,12,2007/7/27,未婚,A型,宮崎県,026-699-4366,090-2291-8103,ドコモ,別盛り・せき止め派
原田 良介,はらだ りょうすけ,harada_ryousuke@example.com,男,20,1999/5/31,未婚,B型,福島県,049-730-7812,090-3362-1432,ドコモ,右ルー・ナン派
玉木 みゆき,たまき みゆき,tamaki_miyuki@example.com,女,22,1997/5/16,未婚,AB型,沖縄県,012-525-2310,090-2280-8233,au,左ルー・別口派
寺尾 みあ,てらお みあ,terao_mia@example.com,女,43,1976/3/8,未婚,O型,新潟県,037-562-4151,080-9483-3871,ドコモ,別盛り・せき止め派
徳重 碧海,とくしげ おうが,tokushige_ouga@example.com,男,27,1992/7/31,既婚,A型,埼玉県,048-511-7244,080-3703- 495,ドコモ,手前ルー・混ぜ混ぜ派
笹原 ひろみ,ささはら ひろみ,sasahara_hiromi@example.com,女,10,2009/5/23,未婚,O型,大分県,010-995-4846,080-5928-5364,ドコモ,ぶっかけ・ナン派
白川 麻由子,しらかわ まゆこ,shirakawa_mayuko@example.com,女,60,1959/6/6,既婚,O型,東京都,092-371-7493,090-7892-2998,au,ぶっかけ・混ぜ混ぜ派
